City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,mundo nuevo,18.7,-95.5,84.07,77,45,13.44,MX,1623026263
186,sur,22.5667,59.5289,83.19,78,1,8.97,OM,1623026264
187,fare,-16.7,-151.0167,80.73,73,91,9.53,PF,1623026264
188,mlonggo,-6.5333,110.7,80.6,83,20,2.3,ID,1623026265
189,riberalta,-10.9833,-66.1,82.4,83,75,2.35,BO,1623026266
190,marienburg,54.0359,19.0266,51.01,84,8,1.72,PL,1623026266
191,bryant,34.5959,-92.4891,76.6,58,73,1.99,US,1623026022
192,odweyne,9.4092,45.064,72.93,59,0,12.68,SO,1623026267
193,ilulissat,69.2167,-51.1,35.62,93,75,0.0,GL,1623026012
194,prince rupert,54.3161,-130.3201,51.89,84,90,2.3,CA,1623026081
195,khandyga,62.6667,135.6,63.88,68,100,5.57,RU,1623026268
196,saquarema,-22.92,-42.5103,75.2,78,0,3.44,BR,1623026269
197,mayo,38.8876,-76.5119,86.25,73,1,7.0,US,1623026269
198,karratha,-20.7377,116.8463,78.53,43,30,16.13,AU,1623026269
199,mar del plata,-38.0023,-57.5575,55.0,87,61,7.52,AR,1623026224
200,funadhoo,6.15,73.2667,82.4,77,100,15.7,MV,1623026271
201,pevek,69.7008,170.3133,48.83,62,5,11.97,RU,1623026271
202,sooke,48.3746,-123.7276,55.36,89,83,4.07,CA,1623026272
203,nome,64.5011,-165.4064,38.16,80,90,10.36,US,1623026272
204,aksarka,66.5606,67.7975,38.25,57,10,3.94,RU,1623025996
205,henties bay,-22.116,14.2845,67.86,50,0,10.65,NA,1623026273
206,bansang,13.4333,-14.65,86.34,62,45,10.63,GM,1623026273
207,parabel,58.6978,81.4825,52.05,83,100,8.93,RU,1623026273
208,rincon,32.296,-81.2354,80.85,83,90,5.84,US,1623026055
209,camacupa,-12.0167,17.4833,51.22,58,41,1.7,AO,1623026274
210,changji,44.0167,87.3167,65.19,45,0,2.71,CN,1623026274
211,fukue,32.6881,128.8419,71.96,88,75,2.3,JP,1623026275
212,kassala,15.451,36.4,92.68,27,100,3.22,SD,1623026275
213,pitimbu,-7.4706,-34.8086,75.79,85,19,9.73,BR,1623026276
